Time (s),Bx (µT),Bz (µT),ωy (rad/s),Voltage (mV)
32.810001373291016,-26.456932067871094,-25.034257888793945,-13.321739196777344,-0.011508800089359283
32.81999969482422,-29.393310546875,-20.947975158691406,-13.22912883758545,-0.013080566190183163
32.83000183105469,-31.540935516357422,-18.010486602783203,-13.134567260742188,-0.013866370543837547
32.84000015258789,-33.37331771850586,-14.770891189575195,-13.033676147460938,-0.0141287287697196
32.849998474121094,-34.97649383544922,-11.015186309814453,-12.9287748336792,-0.014911988750100136
32.86000061035156,-36.07640838623047,-7.57709264755249,-12.821244239807129,-0.01595975272357464
32.869998931884766,-36.18122100830078,-4.138998985290527,-12.714559555053711,-0.015960628166794777
32.880001068115234,-36.02909851074219,0.5678347945213318,-12.610595703125,-0.015959912911057472
32.88999938964844,-36.12534713745117,4.0050554275512695,-12.4943208694458,-0.01569906435906887
32.900001525878906,-35.85250473022461,6.644798755645752,-12.371983528137207,-0.014913816004991531
32.90999984741211,-34.538883209228516,9.977596282958984,-12.249771118164062,-0.014128887094557285
32.91999816894531,-33.5955696105957,14.192033767700195,-12.132095336914062,-0.013605441898107529
32.93000030517578,-32.5596809387207,18.014631271362305,-12.011015892028809,-0.013081996701657772
32.939998626708984,-30.830480575561523,20.48823356628418,-11.874832153320312,-0.01177346333861351
32.95000076293945,-28.82150650024414,22.678302764892578,-11.74341106414795,-0.010727128945291042
32.959999084472656,-26.81987762451172,25.43067741394043,-11.604381561279297,-0.009941802360117435
32.970001220703125,-24.304378509521484,28.092426300048828,-11.46340274810791,-0.009157111868262291
32.97999954223633,-21.987897872924805,29.8065185546875,-11.320775032043457,-0.008109506219625473
32.9900016784668,-19.231782913208008,31.787723541259766,-11.17899227142334,-0.006539409048855305
33,-15.943042755126953,32.82474136352539,-11.035910606384277,-0.004969311878085136
33.0099983215332,-12.457305908203125,33.04524230957031,-10.892075538635254,-0.0033992144744843245
33.02000045776367,-9.512775421142578,34.27901077270508,-10.742416381835938,-0.002091555390506983
33.029998779296875,-5.949151039123535,36.386226654052734,-10.589383125305176,-0.0007823065971024334
33.040000915527344,-2.0576367378234863,36.7586784362793,-10.441609382629395,0.0005251936963759363
