Time (s),Fᵧ (N),rᵧ (m)
19.110000610351562,-0.8106096982955933,0.13520872592926025
19.1200008392334,-0.8106096982955933,0.13460800051689148
19.1299991607666,-0.7947403192520142,0.13407151401042938
19.139999389648438,-0.7912710905075073,0.13367103040218353
19.149999618530273,-0.7912710905075073,0.13327054679393768
19.15999984741211,-0.7690491676330566,0.13287007808685303
19.170000076293945,-0.7685569524765015,0.1324695646762848
19.18000030517578,-0.7656034231185913,0.13206908106803894
19.190000534057617,-0.7525938153266907,0.13160289824008942
19.200000762939453,-0.7462179660797119,0.13106811046600342
19.209999084472656,-0.742912769317627,0.1306014508008957
19.219999313354492,-0.7332552075386047,0.1300671547651291
19.229999542236328,-0.7332552075386047,0.12960000336170197
19.239999771118164,-0.7332552075386047,0.1289992779493332
19.25,-0.7171045541763306,0.12839853763580322
19.260000228881836,-0.7139165997505188,0.12786521017551422
19.270000457763672,-0.7139165997505188,0.12746472656726837
19.280000686645508,-0.7073531746864319,0.12706424295902252
19.290000915527344,-0.6945779919624329,0.12673187255859375
19.299999237060547,-0.6945779919624329,0.12653163075447083
19.309999465942383,-0.687944233417511,0.12626278400421143
19.31999969482422,-0.6752393245697021,0.12586231529712677
19.329999923706055,-0.6752393245697021,0.12546181678771973
19.34000015258789,-0.6685352921485901,0.12506133317947388
19.350000381469727,-0.6559007167816162,0.12459128350019455
19.360000610351562,-0.6559007167816162,0.12406037002801895
19.3700008392334,-0.6559007167816162,0.12358982115983963
19.3799991607666,-0.6394453048706055,0.12305939942598343
19.389999389648438,-0.6365621089935303,0.12265891581773758
19.399999618530273,-0.6365621089935303,0.12225842475891113
19.40999984741211,-0.6200364232063293,0.12185793370008469
19.420000076293945,-0.6172235012054443,0.12145745754241943
19.43000030517578,-0.6172235012054443,0.12105697393417358
19.440000534057617,-0.6102850437164307,0.12065647542476654
19.450000762939453,-0.6075424551963806,0.12032800167798996
19.459999084472656,-0.6075424551963806,0.12005551159381866
19.469999313354492,-0.6075425148010254,0.11972750723361969
19.479999542236328,-0.5978848934173584,0.11952727288007736
19.489999771118164,-0.5978848934173584,0.11932703107595444
19.5,-0.5908057689666748,0.11912678927183151
19.510000228881836,-0.585648775100708,0.11892654746770859
19.520000457763672,-0.5811012387275696,0.11872630566358566
19.530000686645508,-0.5785462260246277,0.11852606385946274
19.540000915527344,-0.5785462260246277,0.11832582205533981
19.549999237060547,-0.5785462260246277,0.11812558770179749
19.559999465942383,-0.5688886642456055,0.11800000816583633
19.56999969482422,-0.5616454482078552,0.11792509257793427
19.579999923706055,-0.5592076182365417,0.11772484332323074
19.59000015258789,-0.5592076182365417,0.11744920909404755
19.600000381469727,-0.5518940687179565,0.1170487180352211
19.610000610351562,-0.5398690104484558,0.11664824187755585
19.6200008392334,-0.5398690104484558,0.11624775826931
19.6299991607666,-0.5398690104484558,0.11584727466106415
19.639999389648438,-0.5398690104484558,0.11552339792251587
19.649999618530273,-0.5398690104484558,0.11524630337953568
19.65999984741211,-0.5324148535728455,0.11484582722187042
19.670000076293945,-0.5205304026603699,0.11452267318964005
19.68000030517578,-0.5205304026603699,0.11432243138551712
19.690000534057617,-0.5205304026603699,0.11404436081647873
19.700000762939453,-0.5129824876785278,0.11372194439172745
19.709999084472656,-0.5011917948722839,0.11352169513702393
19.719999313354492,-0.5011917948722839,0.113321453332901
19.729999542236328,-0.5011917948722839,0.11312120407819748
19.739999771118164,-0.5011917948722839,0.11299999803304672
19.75,-0.5011917948722839,0.11299999803304672
19.760000228881836,-0.5011917948722839,0.11299999803304672
19.770000457763672,-0.48382219672203064,0.11299999803304672
19.780000686645508,-0.4915107786655426,0.11299999803304672
19.790000915527344,-0.48961204290390015,0.11299999803304672
19.799999237060547,-0.49340948462486267,0.11299999803304672
19.809999465942383,-0.4818531572818756,0.11299999803304672
19.81999969482422,-0.4818531572818756,0.11299999803304672
19.829999923706055,-0.4818531572818756,0.11299999803304672
19.84000015258789,-0.4818531572818756,0.11299999803304672
19.850000381469727,-0.4818531572818756,0.11299999803304672
19.860000610351562,-0.4818531572818756,0.11299999803304672
19.8700008392334,-0.4915107488632202,0.11308217793703079
19.8799991607666,-0.5074504613876343,0.11328241974115372
19.889999389648438,-0.5125371217727661,0.11356533318758011
19.899999618530273,-0.5011917948722839,0.11396581679582596
19.90999984741211,-0.5108493566513062,0.11444945633411407
19.920000076293945,-0.5108493566513062,0.11496678739786148
19.93000030517578,-0.5189364552497864,0.1154509112238884
19.940000534057617,-0.5286409258842468,0.1159677505493164
19.950000762939453,-0.5220775008201599,0.11636823415756226
19.959999084472656,-0.5383453369140625,0.11668436229228973
19.969999313354492,-0.5398690104484558,0.11696920543909073
19.979999542236328,-0.5398690104484558,0.1172848492860794
19.989999771118164,-0.5398690104484558,0.11748509854078293
20,-0.5577777624130249,0.11777066439390182
20.010000228881836,-0.5592076182365417,0.11817114800214767
