Time (s),Ay (m/s²),Fᵧ (N),rᵧ (m)
0.46000000834465027,-11.548887252807617,-1.3723740577697754,0.002074238145723939
0.4699999988079071,-11.180532455444336,-1.4400805234909058,0.008015143685042858
0.47999998927116394,-11.934432029724121,-1.4914188385009766,0.013640997000038624
0.49000000953674316,-12.428606986999512,-1.542757272720337,0.019176362082362175
0.5,-12.547012329101562,-1.5847628116607666,0.024354200810194016
0.5099999904632568,-12.689995765686035,-1.6275287866592407,0.029330195859074593
0.5199999809265137,-12.774171829223633,-1.6625783443450928,0.03410433977842331
0.5299999713897705,-13.07241153717041,-1.703696608543396,0.038578759878873825
0.5400000214576721,-13.12855339050293,-1.729349970817566,0.042497504502534866
0.550000011920929,-13.169964790344238,-1.7473342418670654,0.046012554317712784
0.5600000023841858,-13.30839729309082,-1.7721319198608398,0.049072206020355225
0.5699999928474426,-13.314014434814453,-1.7883415222167969,0.05157894641160965
0.5799999833106995,-13.27895736694336,-1.7892606258392334,0.05368199199438095
0.5899999737739563,-13.169502258300781,-1.8054383993148804,0.05538134649395943
0.6000000238418579,-13.127694129943848,-1.7959471940994263,0.05662161111831665
0.6100000143051147,-13.001349449157715,-1.7873749732971191,0.05736897885799408
0.6200000047683716,-12.890606880187988,-1.7702621221542358,0.05779999867081642
0.6299999952316284,-12.752884864807129,-1.7541476488113403,0.057683657854795456
0.6399999856948853,-12.47950553894043,-1.7435789108276367,0.05710452422499657
0.6499999761581421,-12.382674217224121,-1.7103832960128784,0.05597987025976181
0.6600000262260437,-12.035541534423828,-1.68263840675354,0.05439057946205139
0.6700000166893005,-11.948188781738281,-1.6409021615982056,0.052195753902196884
0.6800000071525574,-11.540533065795898,-1.606676697731018,0.04939538240432739
0.6899999976158142,-11.253705978393555,-1.5628172159194946,0.046116895973682404
0.699999988079071,-10.98576545715332,-1.5114787817001343,0.04257192835211754
0.7099999785423279,-10.783809661865234,-1.4601404666900635,0.03862326592206955
0.7200000286102295,-10.368993759155273,-1.4076613187789917,0.03433739393949509
0.7300000190734863,-9.927483558654785,-1.3403668403625488,0.02984967641532421
0.7400000095367432,-9.764345169067383,-1.289028525352478,0.025160111486911774
0.75,-9.339191436767578,-1.2365018129348755,0.020199447870254517
0.7599999904632568,-8.834731101989746,-1.1680506467819214,0.014905262738466263
0.7699999809265137,-8.321009635925293,-1.1093600988388062,0.009409233927726746
0.7799999713897705,-7.797284126281738,-1.0482453107833862,0.003711357247084379
0.7900000214576721,-7.7584147453308105,-0.9810459017753601,-0.002188365673646331
0.800000011920929,-7.44846773147583,-0.9284399747848511,-0.008216066285967827
0.8100000023841858,-6.698455333709717,-0.8599887490272522,-0.014318559318780899
0.8199999928474426,-6.502713203430176,-0.8000782132148743,-0.020471466705203056
0.8299999833106995,-6.2249369621276855,-0.7329422235488892,-0.02649916708469391
0.8399999737739563,-6.0908894538879395,-0.6816038489341736,-0.03252686932682991
