Time (s),Voltage (V),Voltage (V)
1.5499999523162842,0,0
1.559999942779541,0,0
1.5700000524520874,0,0
1.5800000429153442,0,0
1.590000033378601,0,0
1.600000023841858,0,0
1.6100000143051147,0,0
1.6200000047683716,0,0
1.6299999952316284,0,0
1.6399999856948853,0,0
1.649999976158142,0,0
1.659999966621399,0,0
1.6699999570846558,0,0
1.6799999475479126,0,0
1.690000057220459,0,0
1.7000000476837158,0,0
1.7100000381469727,0,0.00014339460176415741
1.7200000286102295,0,0.000661627680528909
1.7300000190734863,0,0
1.7400000095367432,0,0
1.75,0,0
1.7599999904632568,0,0
1.7699999809265137,0,0.00029685196932405233
1.7799999713897705,0,0.0013131926534697413
1.7899999618530273,0,0
1.7999999523162842,0,0
1.809999942779541,0,0
1.8200000524520874,0,0
1.8300000429153442,0,0
1.840000033378601,0,0
1.850000023841858,0,0
1.8600000143051147,0,0
1.8700000047683716,0,0
1.8799999952316284,0,0
1.8899999856948853,0,0
1.899999976158142,0,0
1.909999966621399,0,0
1.9199999570846558,0,0
1.9299999475479126,0,0
1.940000057220459,0,0
1.9500000476837158,0,0
1.9600000381469727,0,0
1.9700000286102295,0,0.0001651972852414474
1.9800000190734863,0,0.0006398250116035342
1.9900000095367432,0,0
2,0,0
2.009999990463257,0,0
2.0199999809265137,0,0
2.0299999713897705,0,0
2.0399999618530273,0,0
2.049999952316284,0,0
2.059999942779541,0,0
2.069999933242798,0,0
2.0799999237060547,0,0
2.0899999141693115,0,0
2.0999999046325684,0,0
2.109999895095825,0,0
2.119999885559082,0,0
2.130000114440918,0,0
2.140000104904175,0,0
2.1500000953674316,0,0
2.1600000858306885,0,0
2.1700000762939453,0,0
2.180000066757202,0,0.00018280713993590325
2.190000057220459,0,0.0006222151569090784
2.200000047683716,0,0.000368968554539606
2.2100000381469727,0,0.0012410760391503572
2.2200000286102295,0,0
2.2300000190734863,0,0
2.240000009536743,0,0
2.25,0,0
2.259999990463257,0,0
2.2699999809265137,0,0
2.2799999713897705,0,0
2.2899999618530273,0,0
2.299999952316284,0,0
2.309999942779541,0,0
2.319999933242798,0,0
2.3299999237060547,0,0
2.3399999141693115,0,0
2.3499999046325684,0,0
2.359999895095825,0,0
2.369999885559082,0,0
2.380000114440918,0,0
2.390000104904175,0,0
2.4000000953674316,0,0
2.4100000858306885,0,0
2.4200000762939453,0,0
2.430000066757202,0,0
2.440000057220459,0,0
2.450000047683716,0,0
2.4600000381469727,0,0
2.4700000286102295,0,0
2.4800000190734863,0,0
2.490000009536743,0,0
2.5,0,0
2.509999990463257,0,0
2.5199999809265137,0,0
2.5299999713897705,0,0
2.5399999618530273,0,0
2.549999952316284,0,0
2.559999942779541,0,0
2.569999933242798,0,0
2.5799999237060547,0,0
2.5899999141693115,0,0
2.5999999046325684,0,0
2.609999895095825,0,0
2.619999885559082,0,0
2.630000114440918,0,0
2.640000104904175,0,0
2.6500000953674316,0,0
2.6600000858306885,0,0
2.6700000762939453,0,0
2.680000066757202,0,0
2.690000057220459,0,0
2.700000047683716,0,0
2.7100000381469727,0,0
2.7200000286102295,0,0
2.7300000190734863,0,0
2.740000009536743,0,0
2.75,0,0
2.759999990463257,0,0
2.7699999809265137,0,0
2.7799999713897705,0,0
2.7899999618530273,0,0
2.799999952316284,0,0
2.809999942779541,0,0
2.819999933242798,0,0
2.8299999237060547,0,0
2.8399999141693115,0,0
2.8499999046325684,0,0
2.859999895095825,0,0
2.869999885559082,0,0
2.880000114440918,0,0
2.890000104904175,0,0
2.9000000953674316,0,0
2.9100000858306885,0,0
2.9200000762939453,0,0
2.930000066757202,0,0
2.940000057220459,0,0
2.950000047683716,0,0
2.9600000381469727,0,0
2.9700000286102295,0,0
2.9800000190734863,0,0
2.990000009536743,0,0
3,0,0
3.009999990463257,0,0
3.0199999809265137,0,0
3.0299999713897705,0,0
3.0399999618530273,0,0
3.049999952316284,0,0
3.059999942779541,0,0
3.069999933242798,0,0
3.0799999237060547,0,0
3.0899999141693115,0,0
3.0999999046325684,0,0
3.109999895095825,0,0
3.119999885559082,0,0
3.130000114440918,0,0
3.140000104904175,0,0
3.1500000953674316,0,0
3.1600000858306885,0,0
3.1700000762939453,0,0
3.180000066757202,0,0
3.190000057220459,0,0
3.200000047683716,0,0
3.2100000381469727,0,0
3.2200000286102295,0,0
3.2300000190734863,0,0
3.240000009536743,0,0
3.25,0,0
3.259999990463257,0,0
3.2699999809265137,0,0
3.2799999713897705,0,0
3.2899999618530273,0.6880642771720886,0.3437562584877014
3.299999952316284,2.009816884994507,1.0038259029388428
3.309999942779541,2.009816884994507,1.0032967329025269
3.319999933242798,2.009816884994507,1.0032967329025269
3.3299999237060547,2.0100960731506348,1.0032967329025269
3.3399999141693115,2.010342597961426,1.0035768747329712
3.3499999046325684,2.0050413608551025,1.0041025876998901
3.359999895095825,2.0009071826934814,1.001566767692566
3.369999885559082,2.009816884994507,0.9991105794906616
3.380000114440918,2.0092501640319824,1.0032967329025269
3.390000104904175,2.0062153339385986,1.0032967329025269
3.4000000953674316,2.0008535385131836,1.0032967329025269
3.4100000858306885,2.0023040771484375,1.0035827159881592
3.4200000762939453,2.01062273979187,1.0032422542572021
3.430000066757202,2.01062273979187,1.0022603273391724
3.440000057220459,2.008026599884033,1.0009889602661133
3.450000047683716,2.0059738159179688,0.9991642832756042
3.4600000381469727,2.01062273979187,1.0027164220809937
3.4700000286102295,2.005385160446167,0.9996481537818909
3.4800000190734863,2.0010781288146973,0.99808669090271
3.490000009536743,2.007768154144287,1.0022703409194946
3.5,2.006230354309082,1.0032967329025269
3.509999990463257,2.0101113319396973,1.0035910606384277
3.5199999809265137,2.01062273979187,1.0038074254989624
3.5299999713897705,2.0055904388427734,1.0032967329025269
3.5399999618530273,2.001969575881958,1.0035935640335083
3.549999952316284,2.01062273979187,1.0038049221038818
3.559999942779541,2.008831739425659,1.0032967329025269
3.569999933242798,2.0051889419555664,1.0032967329025269
3.5799999237060547,2.006577491760254,1.0035969018936157
3.5899999141693115,2.01062273979187,1.0038015842437744
3.5999999046325684,2.01062273979187,1.0032967329025269
3.609999895095825,2.01062273979187,1.0032967329025269
3.619999885559082,2.0081942081451416,1.0032967329025269
3.630000114440918,2.0066111087799072,1.0032967329025269
3.640000104904175,2.0060441493988037,1.0032967329025269
3.6500000953674316,2.0022077560424805,1.0032967329025269
3.6600000858306885,2.0042152404785156,1.0032967329025269
3.6700000762939453,2.002653121948242,1.0032967329025269
3.680000066757202,2.01062273979187,1.0032967329025269
3.690000057220459,2.0050530433654785,1.0032967329025269
3.700000047683716,2.001702070236206,1.001745343208313
3.7100000381469727,2.01062273979187,1.000822901725769
3.7200000286102295,2.0071914196014404,1.0032967329025269
3.7300000190734863,1.999881625175476,1.003609538078308
3.740000009536743,1.9966094493865967,1.0012799501419067
3.75,1.9970605373382568,0.999365508556366
3.759999990463257,2.0013725757598877,1.0036120414733887
3.7699999809265137,2.0076844692230225,1.0037864446640015
3.7799999713897705,2.007452964782715,1.0036137104034424
3.7899999618530273,2.0003395080566406,1.0041025876998901
3.799999952316284,2.002340078353882,1.0041025876998901
3.809999942779541,2.009664297103882,1.003783106803894
3.819999933242798,2.0091662406921387,1.0032967329025269
3.8299999237060547,2.0103015899658203,1.0007272958755493
3.8399999141693115,2.010138988494873,0.9994258880615234
3.8499999046325684,2.01062273979187,1.0032967329025269
3.859999895095825,2.01062273979187,1.0032967329025269
3.869999885559082,2.0073776245117188,1.0032967329025269
3.880000114440918,2.0054924488067627,1.0016698837280273
3.890000104904175,2.0101430416107178,1.0008984804153442
3.9000000953674316,2.00931453704834,1.0032967329025269
3.9100000858306885,2.0037925243377686,1.0032967329025269
3.9200000762939453,2.0034656524658203,1.0032967329025269
3.930000066757202,2.0050203800201416,1.0036262273788452
3.940000057220459,2.0015485286712646,1.0037721395492554
3.950000047683716,2.003899097442627,1.0032967329025269
3.9600000381469727,2.003041982650757,1.0032967329025269
3.9700000286102295,2.01062273979187,1.002963900566101
3.9800000190734863,2.01062273979187,1.0031583309173584
3.990000009536743,2.01062273979187,1.002095103263855
4,2.008274793624878,1.0012799501419067
4.010000228881836,2.001955509185791,1.0041025876998901
4.019999980926514,2.003122568130493,1.0037654638290405
4.03000020980835,2.005215644836426,1.002620816230774
4.039999961853027,1.9970513582229614,1.0020238161087036
4.050000190734863,1.9995135068893433,1.0024908781051636
4.059999942779541,2.0017926692962646,1.0011290311813354
4.070000171661377,2.0036542415618896,1.0009738206863403
4.079999923706055,2.0085699558258057,1.0032967329025269
4.090000152587891,2.0016720294952393,1.0032967329025269
4.099999904632568,2.0023059844970703,1.0032967329025269
4.110000133514404,2.0044190883636475,1.0032967329025269
4.119999885559082,2.002336025238037,1.0032967329025269
4.130000114440918,2.01062273979187,1.0029504299163818
4.139999866485596,2.01062273979187,1.0011022090911865
4.150000095367432,2.0050547122955322,1.0010074377059937
4.159999847412109,2.003310441970825,1.0032967329025269
4.170000076293945,2.01062273979187,1.0032967329025269
4.179999828338623,2.01062273979187,1.0004925727844238
4.190000057220459,2.01062273979187,0.9996606707572937
4.199999809265137,2.008509635925293,1.0032967329025269
4.210000038146973,2.0079057216644287,1.0032967329025269
4.21999979019165,2.01062273979187,1.0036506652832031
4.230000019073486,2.0053019523620605,1.003747820854187
4.239999771118164,2.0038681030273438,1.0032967329025269
4.25,2.01062273979187,1.0036531686782837
4.260000228881836,2.004192590713501,1.0041025876998901
4.269999980926514,1.9982657432556152,1.0037444829940796
4.28000020980835,2.0052592754364014,1.0025789737701416
4.289999961853027,2.0084643363952637,1.0024044513702393
4.300000190734863,2.0054268836975098,1.0032967329025269
4.309999942779541,2.007511854171753,1.0032967329025269
4.320000171661377,2.01062273979187,1.0032967329025269
4.329999923706055,2.01062273979187,1.000391960144043
4.340000152587891,2.01062273979187,0.9997613430023193
4.349999904632568,2.01062273979187,1.0036615133285522
4.360000133514404,2.01062273979187,1.00081205368042
4.369999885559082,2.01062273979187,1.0001479387283325
4.380000114440918,2.0076844692230225,1.0041025876998901
4.389999866485596,2.006016492843628,1.0037344694137573
4.400000095367432,2.009312152862549,1.0036656856536865
4.409999847412109,2.01062273979187,1.0041025876998901
4.420000076293945,2.003951072692871,1.0037319660186768
4.429999828338623,2.0024325847625732,1.0029252767562866
4.440000057220459,2.009816884994507,1.0010015964508057
4.449999809265137,2.0045926570892334,1.0011332035064697
4.460000038146973,2.00339674949646,1.0032967329025269
4.46999979019165,2.009385824203491,1.0036715269088745
4.480000019073486,2.009816884994507,1.0018484592437744
4.489999771118164,2.009816884994507,1.0011500120162964
4.5,2.009816884994507,1.0002778768539429
4.510000228881836,2.0094387531280518,0.9998754262924194
4.519999980926514,2.009390115737915,1.002917766571045
4.53000020980835,2.0044987201690674,1.0032505989074707
4.539999961853027,2.003484010696411,1.000676155090332
4.550000190734863,2.0048141479492188,0.9968498349189758
4.559999942779541,2.004735231399536,1.000291347503662
4.570000171661377,2.010200262069702,1.0037193298339844
4.579999923706055,2.0102386474609375,1.0036808252334595
4.590000152587891,2.0102016925811768,1.0041025876998901
4.599999904632568,2.0094656944274902,1.0037168264389038
4.610000133514404,2.0078184604644775,1.00368332862854
4.619999885559082,2.0019755363464355,1.0041025876998901
4.630000114440918,2.0023293495178223,1.0029377937316895
4.639999866485596,2.0090110301971436,1.0024632215499878
4.650000095367432,2.0097908973693848,1.0032967329025269
4.659999847412109,2.009841203689575,1.0001705884933472
4.670000076293945,2.0090110301971436,1.0003743171691895
4.679999828338623,2.0070488452911377,1.0041025876998901
4.690000057220459,2.0073413848876953,1.0005630254745483
4.699999809265137,2.009422779083252,1.0000028610229492
4.710000038146973,2.0086159706115723,1.0036916732788086
4.71999979019165,2.001476526260376,1.0044983625411987
4.730000019073486,1.9968852996826172,1.004511833190918
4.739999771118164,2.0045080184936523,1.0041025876998901
4.75,2.009418487548828,1.003704309463501
4.760000228881836,2.0094101428985596,1.0036958456039429
4.769999980926514,2.009816884994507,1.0041025876998901
4.78000020980835,2.0074119567871094,1.0004950761795044
4.789999961853027,2.004580020904541,1.000464916229248
4.800000190734863,2.0065908432006836,1.0041025876998901
4.809999942779541,2.0098178386688232,1.0041025876998901
4.820000171661377,2.010218620300293,1.0041025876998901
4.829999923706055,2.009816884994507,1.0041025876998901
4.840000152587891,2.0073816776275635,1.0041025876998901
4.849999904632568,2.0074219703674316,1.0041025876998901
4.860000133514404,2.0094094276428223,1.0041025876998901
4.869999885559082,2.0086026191711426,1.0036941766738892
4.880000114440918,2.009023666381836,1.0000230073928833
4.889999866485596,2.009816884994507,1.0005403757095337
4.900000095367432,2.0061187744140625,1.0041025876998901
4.909999847412109,1.9988585710525513,1.0041025876998901
4.920000076293945,2.0023250579833984,1.0041025876998901
4.929999828338623,2.0098378658294678,1.0028623342514038
4.940000057220459,2.0064802169799805,1.0029277801513672
4.949999809265137,2.0062999725341797,1.0003668069839478
4.960000038146973,2.010232925415039,0.9993454217910767
4.96999979019165,2.004371166229248,1.0029352903366089
4.980000019073486,2.0043814182281494,1.002849817276001
4.989999771118164,2.009816884994507,0.9991743564605713
5,2.0073013305664062,1.000623345375061
5.010000228881836,2.007502555847168,1.0036824941635132
5.019999980926514,2.0102379322052,1.0037176609039307
5.03000020980835,2.0034523010253906,1.0041025876998901
5.039999961853027,2.003685235977173,1.0002988576889038
5.050000190734863,2.0064291954040527,1.0006611347198486
5.059999942779541,2.0067646503448486,1.0041025876998901
5.070000171661377,2.0093917846679688,1.0002762079238892
5.079999923706055,2.0090110301971436,1.0006837844848633
5.090000152587891,2.0094377994537354,1.0041025876998901
5.099999904632568,2.0093891620635986,1.0041025876998901
5.110000133514404,2.0090110301971436,1.0041025876998901
5.119999885559082,2.0094404220581055,1.0041025876998901
5.130000114440918,2.010246992111206,1.0041025876998901
5.139999866485596,2.01062273979187,1.0028095245361328
5.150000095367432,2.0028491020202637,1.0029805898666382
5.159999847412109,2.0030405521392822,1.0041025876998901
5.170000076293945,2.006843328475952,1.0041025876998901
5.179999828338623,2.0058505535125732,1.0041025876998901
5.190000057220459,2.0009355545043945,1.0001856088638306
5.199999809265137,2.003530263900757,1.0007742643356323
5.210000038146973,2.0093798637390137,1.0041025876998901
5.21999979019165,2.009448766708374,1.0041025876998901
5.230000019073486,2.009816884994507,1.0005940198898315
5.239999771118164,2.009816884994507,1.0011709928512573
5.25,2.0093765258789062,1.003662347793579
5.260000228881836,2.0090110301971436,1.0015324354171753
5.269999980926514,2.0090110301971436,1.0018409490585327
5.28000020980835,2.0090110301971436,1.0037394762039185
5.289999961853027,2.0090110301971436,1.000110149383545
5.300000190734863,2.0090110301971436,0.9968498349189758
5.309999942779541,2.0090110301971436,0.9968498349189758
5.320000171661377,2.0090110301971436,0.9968498349189758
5.329999923706055,2.009458065032959,1.0008723735809326
5.340000152587891,2.009816884994507,1.0041025876998901
5.349999904632568,2.009816884994507,1.0041025876998901
5.360000133514404,2.009816884994507,1.000057339668274
5.369999885559082,2.009366512298584,1.0009026527404785
5.380000114440918,2.0094621181488037,1.0009444952011108
5.389999866485596,2.009816884994507,1.001625418663025
5.400000095367432,2.0102696418762207,1.0009328126907349
5.409999847412109,2.01016902923584,0.9975542426109314
5.420000076293945,2.009816884994507,1.0009403228759766
5.429999828338623,2.009361505508423,1.0041025876998901
5.440000057220459,2.0007998943328857,1.0041025876998901
5.449999809265137,2.0027318000793457,1.0041025876998901
5.460000038146973,2.00076961517334,1.0041025876998901
5.46999979019165,1.9967989921569824,1.0041025876998901
5.480000019073486,2.005427837371826,1.0036430358886719
5.489999771118164,2.010162353515625,1.003757119178772
5.5,2.0093557834625244,1.0041025876998901
5.510000228881836,2.0011560916900635,0.9999441504478455
5.519999980926514,1.9953113794326782,1.0010157823562622
5.53000020980835,2.0008761882781982,1.0041025876998901
5.539999961853027,2.0082337856292725,1.0041025876998901
5.550000190734863,2.010157346725464,1.0041025876998901
5.559999942779541,2.0018906593322754,1.0041025876998901
5.570000171661377,2.0003209114074707,1.0041025876998901
5.579999923706055,2.0033700466156006,1.0041025876998901
5.590000152587891,2.0066514015197754,1.0041025876998901
5.599999904632568,2.001027822494507,1.0036330223083496
5.610000133514404,2.003779172897339,1.0032967329025269
5.619999885559082,2.0102882385253906,1.0009403228759766
5.630000114440918,2.01062273979187,1.0016279220581055
5.639999866485596,2.0101497173309326,1.0032967329025269
5.650000095367432,2.009343147277832,1.0032967329025269
5.659999847412109,2.009960412979126,1.0037713050842285
5.670000076293945,2.009671688079834,1.003627061843872
5.679999828338623,2.0085346698760986,1.0032967329025269
5.690000057220459,2.0086822509765625,1.0032967329025269
5.699999809265137,2.0090110301971436,1.0037747621536255
5.710000038146973,2.0094897747039795,1.0036237239837646
5.71999979019165,2.009816884994507,1.0032967329025269
5.730000019073486,2.009336471557617,1.0028162002563477
5.739999771118164,2.0061230659484863,1.0034534931182861
5.75,2.000800609588623,1.0041025876998901
5.760000228881836,2.0052969455718994,1.0041025876998901
5.769999980926514,2.009816884994507,1.0036187171936035
5.78000020980835,2.0093321800231934,1.0037814378738403
5.789999961853027,2.0090110301971436,1.0041025876998901
5.800000190734863,2.009983777999878,1.003616213798523
5.809999942779541,2.0101356506347656,1.0032967329025269
5.820000171661377,2.0005440711975098,1.0032967329025269
5.829999923706055,1.9969499111175537,1.0032967329025269
5.840000152587891,2.0053908824920654,1.0003583431243896
5.849999904632568,2.0029489994049072,1.001404881477356
5.860000133514404,2.0054144859313965,1.0032967329025269
5.869999885559082,2.009324550628662,1.003788948059082
5.880000114440918,2.0090110301971436,1.003609538078308
5.889999866485596,2.0050597190856934,1.0032967329025269
5.900000095367432,2.0065221786499023,1.0032967329025269
5.909999847412109,2.0090110301971436,1.0032967329025269
