Time (s),Fᵧ (N),rᵧ (m),vᵧ (m/s),aᵧ (m/s²)
2.140000104904175,-1.5985006093978882,0.034368790686130524,0.26144713163375854,-3.1735990047454834
2.1500000953674316,-1.6088316440582275,0.03678227588534355,0.24126160144805908,-3.3386385440826416
2.1600000858306885,-1.6173721551895142,0.03879741579294205,0.2009647637605667,-3.376831293106079
2.1700000762939453,-1.629351019859314,0.040407758206129074,0.16048239171504974,-3.578775644302368
2.180000066757202,-1.6344690322875977,0.041608862578868866,0.12011132389307022,-3.634692430496216
2.190000057220459,-1.6344690322875977,0.04240627586841583,0.0797402635216713,-3.7444419860839844
2.200000047683716,-1.6344690322875977,0.042804062366485596,0.039777372032403946,-3.800121545791626
2.2100000381469727,-1.6309672594070435,0.042990028858184814,0.018589982762932777,-3.8715765476226807
2.2200000286102295,-1.6138545274734497,0.04258226975798607,-0.040779225528240204,-3.8563947677612305
2.2300000190734863,-1.5932081937789917,0.04196583852171898,-0.06165120750665665,-3.9454376697540283
2.240000009536743,-1.5625319480895996,0.04094570502638817,-0.10202227532863617,-3.9461493492126465
2.25,-1.533313512802124,0.039513204246759415,-0.14326530694961548,-3.9613990783691406
2.259999990463257,-1.5026689767837524,0.037494368851184845,-0.2018924057483673,-3.898162364959717
2.2699999809265137,-1.4819592237472534,0.03525262698531151,-0.22419296205043793,-3.679832935333252
2.2799999713897705,-1.447733759880066,0.03242824971675873,-0.28244900703430176,-3.506558418273926
2.2899999618530273,-1.4135080575942993,0.02938965894281864,-0.3038775622844696,-3.210453748703003
2.299999952316284,-1.3634532690048218,0.025960665196180344,-0.34291285276412964,-2.8970484733581543
2.309999942779541,-1.323063850402832,0.022329825907945633,-0.3630983829498291,-2.5927765369415283
2.319999933242798,-1.2778418064117432,0.01849713921546936,-0.3832838833332062,-2.3973050117492676
2.3299999237060547,-1.221623182296753,0.014462603256106377,-0.40346941351890564,-2.0802061557769775
2.3399999141693115,-1.1702847480773926,0.01022622361779213,-0.4236549139022827,-1.9249267578125
2.3499999046325684,-1.12267005443573,0.0057879965752363205,-0.4438404440879822,-1.6803332567214966
2.359999895095825,-1.0761644840240479,0.001147922477684915,-0.46402597427368164,-1.3836352825164795
2.369999885559082,-1.0248260498046875,-0.003674238221719861,-0.4822263717651367,-1.07023024559021
2.380000114440918,-0.9697166085243225,-0.00851708184927702,-0.484304279088974,-0.7587230205535889
2.390000104904175,-0.9259205460548401,-0.013540166430175304,-0.5023190975189209,-0.45780596137046814
2.4000000953674316,-0.875548779964447,-0.018540721386671066,-0.5000556707382202,-0.11579858511686325
2.4100000858306885,-0.8147349953651428,-0.023362884297966957,-0.48222631216049194,0.16073530912399292
2.4200000762939453,-0.768134355545044,-0.02818504348397255,-0.4822263717651367,0.43279585242271423
2.430000066757202,-0.725336492061615,-0.03300720453262329,-0.4822263717651367,0.6887083649635315
