Time (s),Ay (m/s²),Fᵧ (N),rᵧ (m)
10.970000267028809,-8.611323356628418,-1.087367057800293,0.055607713758945465
10.979999542236328,-8.514510154724121,-1.0748437643051147,0.05460372194647789
10.989999771118164,-8.451558113098145,-1.066278100013733,0.05359973385930061
11,-8.411855697631836,-1.0531730651855469,0.05259574204683304
11.010000228881836,-8.439345359802246,-1.0491583347320557,0.05159175768494606
11.020000457763672,-8.250225067138672,-1.0360761880874634,0.050587765872478485
11.029999732971191,-8.184342384338379,-1.0234957933425903,0.04950053244829178
11.039999961853027,-8.151634216308594,-1.0189791917800903,0.04837978631258011
11.050000190734863,-8.0746488571167,-1.006376028060913,0.04729095846414566
11.0600004196167,-8.02202320098877,-0.9978105425834656,0.04608617350459099
11.069999694824219,-7.98313045501709,-0.9807021617889404,0.04488138481974602
11.079999923706055,-7.857938289642334,-0.9676884412765503,0.043851062655448914
11.09000015258789,-7.82037878036499,-0.9635823965072632,0.04295983910560608
11.100000381469727,-7.768729209899902,-0.9464740753173828,0.04204467684030533
11.109999656677246,-7.69612979888916,-0.9334945678710938,0.041241489350795746
11.119999885559082,-7.63029146194458,-0.9208115935325623,0.040438298135995865
11.130000114440918,-7.5880022048950195,-0.9163976311683655,0.039635106921195984
11.140000343322754,-7.531889915466309,-0.9163976311683655,0.0388319157063961
11.149999618530273,-7.493996620178223,-0.9036804437637329,0.03802872449159622
11.15999984741211,-7.511050224304199,-0.8993006944656372,0.03731914609670639
11.170000076293945,-7.459467887878418,-0.8865606784820557,0.03681116923689842
11.180000305175781,-7.476965427398682,-0.8822037577629089,0.03631436079740524
11.1899995803833,-7.434353828430176,-0.8822037577629089,0.035807978361845016
11.199999809265137,-7.416967391967773,-0.8822037577629089,0.035503190010786057
11.210000038146973,-7.3868794441223145,-0.8736609816551208,0.03530238941311836
11.220000267028809,-7.4345316886901855,-0.8822037577629089,0.03510159254074097
11.229999542236328,-7.46198844909668,-0.8822037577629089,0.03500000014901161
11.239999771118164,-7.529691219329834,-0.8693838119506836,0.03500000014901161
11.25,-7.572436332702637,-0.873649537563324,0.03500000014901161
11.260000228881836,-7.6213765144348145,-0.8779494762420654,0.03500000014901161
11.270000457763672,-7.615814208984375,-0.8778924345970154,0.035102393478155136
11.279999732971191,-7.646412372589111,-0.8779723048210144,0.03530319035053253
11.289999961853027,-7.6578369140625,-0.8822038173675537,0.03560797870159149
11.300000190734863,-7.674379825592041,-0.8822037577629089,0.03600957244634628
11.3100004196167,-7.704257011413574,-0.890746533870697,0.03651675581932068
11.319999694824219,-7.757548809051514,-0.890746533870697,0.037119150161743164
11.329999923706055,-7.795009136199951,-0.8951262831687927,0.0378287248313427
11.34000015258789,-7.886361122131348,-0.9122346043586731,0.03852393850684166
11.350000381469727,-7.877678871154785,-0.9078548550605774,0.03923511132597923
11.359999656677246,-7.924997806549072,-0.9208115935325623,0.040038298815488815
11.369999885559082,-8.041208267211914,-0.9334945678710938,0.040841490030288696
11.380000114440918,-8.11679458618164,-0.9334945678710938,0.04164468124508858
11.390000343322754,-8.15306568145752,-0.9420373439788818,0.04255983978509903
11.399999618530273,-8.18277645111084,-0.9464969038963318,0.04345106706023216
11.40999984741211,-8.234536170959473,-0.9550625085830688,0.04425425827503204
11.420000076293945,-8.24239730834961,-0.9676884412765503,0.045057449489831924
11.430000305175781,-8.361916542053223,-0.9676884412765503,0.04586063697934151
11.4399995803833,-8.393492698669434,-0.9807363748550415,0.046663831919431686
11.449999809265137,-8.42258071899414,-0.9978446960449219,0.04758377745747566
11.460000038146973,-8.520172119140625,-1.0064102411270142,0.04858776554465294
11.470000267028809,-8.595991134643555,-1.0104364156723022,0.04947340488433838
11.479999542236328,-8.612133979797363,-1.0275219678878784,0.05027659982442856
11.489999771118164,-8.619950294494629,-1.0320842266082764,0.05107978731393814
11.5,-8.691184997558594,-1.0360761880874634,0.051762230694293976
11.510000228881836,-8.686421394348145,-1.0492039918899536,0.05236462876200676
11.520000457763672,-8.716931343078613,-1.0531730651855469,0.05308936536312103
11.529999732971191,-8.81988525390625,-1.0577809810638428,0.053769417107105255
11.539999961853027,-8.820906639099121,-1.07027006149292,0.05437180772423744
11.550000190734863,-8.889176368713379,-1.07027006149292,0.05497420206665993
11.5600004196167,-8.876364707946777,-1.0749120712280273,0.05545106530189514
11.569999694824219,-8.903376579284668,-1.087367057800293,0.05585265904664993
11.579999923706055,-8.943944931030273,-1.087367057800293,0.05625425651669502
11.59000015258789,-8.928512573242188,-1.087367057800293,0.05652792379260063
